name,kCal,carbs,sugar,cookTime,img
"Quark, garlic, roast red pepper and onion dip ", 112, 13.3g, 11.7g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/quarkgarlicredpepperoniondip465x280.jpg?VersionId=cL1e2Vvon._ohr_m77LlNJInSWmly7iB&itok=U5qAztZ_
Spinach and ricotta cannelloni, 171, 20.8g, 6.1g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SpinachAndRicottaCanneloni1000x600.jpg?VersionId=YLXokLu.bB2PTC2lc1VrgO.V.E1dew8K&itok=CUKL6bYG
"Spinach, corn and chickpea fritters ", 181, 18.8g, 5.8g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/chickpeafritters465x280.jpg?VersionId=W1oe6zhX9p78r3QIDeQtpgEkebs9kQct&itok=khTFcYOL
Spinach and rice soup, 310, 49.1g, 8.7g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spinach-And-Rice-Soup.jpg?VersionId=cPBndHOIJb4ZFZuQLNd8wRgaPN6nmIwb&itok=ey3Yzf4V
Spinach and mushroom lasagne, 287, 40.0g, 12.8g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SPINACH%2520AND%2520MUSHROOM%2520LASAGNE%25201.jpg?VersionId=hV.EtRFGQuKwLsRVkyEQPjxuEXPi84tZ&itok=L8shNF7b
Spicy prawns and pak choi stir-fry, 184, 11.4g, 9.1g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PrawnAndPakChoi.jpg?VersionId=0cHrKC4sxgEzuBcjjj.N1uxLx2F2q527&itok=SBUoUdfX
Spicy roasted chickpeas, 79, 8.1g, 0.4g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SpicyRoastedChickpeas1000x600.jpg?VersionId=AVz4EPJjZ6XBw_6t7ninqd55V8RqhY4D&itok=oC1mzCl_
Spicy pork ramen, 491, 54.1g, 10.7g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SPICY%2520PORK%2520RAMEN%25201.jpg?VersionId=vmNasTSZSoWz5YQGBml0Mit4DSELpxu8&itok=UuJkq1Ad
Spicy butternut squash soup, 204, 25.3g, 14.2g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spicy-Butternut-Soup.jpg?VersionId=pqbIXVKVQ9F.ZPzsc6GBROtgETw8kHIQ&itok=TOxUl9J_
Spicy ginger and garlic pork with pak choi, 211, 8.6g, 6.8g,27,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/porkpakchoi.jpg?VersionId=dM81Rdf8k3y8GI923Y9fvjq3mZTa6D8V&itok=at4XDKiT
Spicy bean quesadillas, 371, 49.9g, 7.5g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/beanquesas465x280.jpg?VersionId=ETglgjPw1RCa7K6lrzZViMawsKgGmwDP&itok=b7LUyczo
Spicy duck topped poppadoms, 30, 1.7g, 1.0g,38,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spicy-Duck-Topped-Popadums.jpg?VersionId=XkR3WIx1SCYnEvNiX5a8lDDGu_CRaxQz&itok=0IUblt96
Spicy potato wedges, 278, 41.6g, 5.5g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spicy-Potato-Wedges.jpg?VersionId=S3Cn2KO5NBH4KlOd6jKEpmKkzsIOJ87s&itok=FeuDD5Mi
Roasted peppers with feta cheese, 53, 9.3g, 8.6g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Roasted-Peppers-Feta-Cheese.jpg?VersionId=NkujuBCXCJSifJyy4rjgAxnRHD8WR67A&itok=V5b30gfl
Roasted garlic and mushroom soup, 172, 21.1g, 6.1g,65,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/roastedgarlicandmushroomsoup465x280.jpg?VersionId=z2zGG6TY5nCCyvpjXkunH6jHNBc4sfQL&itok=RQmmgJUD
Roasted chicory, 184, 6.7g, 2.2g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Roasted-Chickory.jpg?VersionId=BxbT61t2EXUi8Txii8s4iP5LPZKjgfMb&itok=i6MpbJEi
"Roasted cauliflower, paneer and chickpea curry ", 352, 38.9g, 14.8g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/paneercurry465x280.jpg?VersionId=R5tKk1Sd5n.SJz.lNo25e5wQP_F2Qurn&itok=RL79xNvG
Roasted tomato and pepper bulgar wheat salad, 252, 34.3g, 9.7g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Roasted-Pepper-And-Bulgar-Wheat-Salad.jpg?VersionId=GJqldyNpcu007jqjeP6uk2IBLePbtk1c&itok=E6Lj8zZZ
Roasted chicory and orange salad, 60, 9.7g, 8.2g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Roasted-Chickory-Orange-Salad.jpg?VersionId=DpnvEF5qDEaUoS_rvHk5sSJlQyul_DAJ&itok=O_w-6he_
Roast turkey, 243, 0.0g, 0.5g,240,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Roast-Turkey.jpg?VersionId=APXuSLkSXM0NBTjQInfdKyzls05zIV95&itok=oX84PCIr
Roast pepper and sundried tomato crostini, 41, 5.4g, 1.4g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/RoastedPepperCrostini1000x600.jpg?VersionId=nXd8oEO_XEgdawt8JiSJtuJe3yppRHir&itok=fqyVZxp1
Roast mackerel with a curried coriander crust , 288, 7.4g, 6.4g,37,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/roastmackerel465x280.jpg?VersionId=d35JI7efZ9yi.9HVmEotEyE7gnWYDskm&itok=oHyxdReM
Roast cod with creamy mushroom lentils, 305, 25.9g, 5.9g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/RoastCodCreamyMushroomLentils1000x600.jpg?VersionId=nr8Zw6jnuVW5f0Gb4M_59LArDSvyMuuo&itok=1DXqKjjK
Roast chicken, 209, 0.3g, 0.2g,145,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Roast-Chicken.jpg?VersionId=rgQFu7hPSuZqNQHIuMlKbdwLgRfgtDOZ&itok=UZvQ-kz0
Roast butternut squash and red lentil soup, 252, 32.0g, 10.5g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/ButternutSquashSoup.jpg?VersionId=_ArxLMGUExmaz4oRW9xZNv.dfteWYVqT&itok=Ts5o8in6
Shakshuka, 259, 27.5g, 25.9g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-04/Shakshuka-1000x600%20%281%29.jpg?VersionId=AZbSsnaX1JvDnEAYNL7YsG_IcPjoTbsz&itok=CMSyfSme
Shellfish risotto, 267, 38.4g, 5.9g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/shellfishrisotto465x280.jpg?VersionId=8LctiXpZJJHmtKW2nhKRgb2nVedGjy1q&itok=z9xT8ykY
Sesame crusted salmon and green bean salad, 408, 7.2g, 6.3g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Sesame%2520crusted%2520salmon.jpg?VersionId=ng.axb_8ZEhT5fzi3NKtPzjUXKnOrOl_&itok=DQxK9OMq
Seafood risotto, 374, 49.4g, 6.8g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SeafoodRisotto1000x600.jpg?VersionId=BHvjhSRHG3HHCvNjhw3jUSeex.hZKDjs&itok=SVnXo8Y1
Seafood parcels, 257, 7.9g, 6.8g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/seafoodparcel.jpg?VersionId=RV05J58TQrjDQQzyVU5QepGzvUGtrNBx&itok=h3haUKs5
Scary pumpkin soup with tombstone bread, 272, 44.6g, 14.5g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/scarysoup465x280.jpg?VersionId=hgNNmm2GNGvvCmbuh4k4sBBDCUlLny_H&itok=Bc9gTg7L
Scandinavian pickled cucumber and salad sandwich, 151, 15.9g, 6.0g,5,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/ScandanavianSandwich.jpg?VersionId=d3fZxMcAkX0qeTsIsomdS0G7_6QqtAe0&itok=Y7RTfyh3
Savoy Coleslaw, 68, 3.9g, 3.8g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-01/Savoy-coleslaw-1000x600%20%281%29.jpg?VersionId=jF0yDRi7h1SEyeQMfeQ.E_aCL9EcyRmq&itok=-OTHFwP4
Scallops with lime and chilli butter, 153, 0.1g, 0.1g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Scallops-Lime-Chilli-Butter.jpg?VersionId=36rqhisvk0XfWRhW.gffvQQJtKIIdv5J&itok=yOW8CCNj
Savoury popcorn, 58, 7.7g, 0.2g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SavouryPopcorn1000x600.jpg?VersionId=JRkxIOhPWEMjZBoexhUbIi8ObKdwfgXV&itok=43ZqqgI-
Savoury meatloaf and onion gravy, 180, 12.7g, 7.1g,105,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Savoury-Meat-Loaf-Onion-G.jpg?VersionId=j2tqLx.Ra4bnntulOxiITDnXRtM_OQKG&itok=MaFw223g
"Salmon, red onion and sweet pepper wraps", 396, 39.0g, 9.0g,12,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SALMON%2520RED%2520ONION%2520AND%2520SWEET%2520PEPPER%2520WRAPS%25201.jpg?VersionId=XsPwD.JdUuXtjfiV_TPXQ3kcHeRxgfZj&itok=HnpS905g
Light and fluffy watercress soup, 149, 21.9g, 9.7g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Watercress-Soup.jpg?VersionId=JLI5CxRrsZj8SYvN.Fznr1Mmotj7NOZF&itok=dQpU15fm
Lemon and herb chicken with chickpeas, 390, 22.1g, 3.1g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Lemon-And-Herb-Chick-Chick.jpg?VersionId=LOznyje3kNRSr1PmV7Keb0Q.PbDvTp0V&itok=KeMuKxQQ
Lamb tagine, 304, 28.5g, 16.7g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/special_diets_icon/Gluten%20free.png
Lamb provençal, 253, 14.3g, 11.7g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/LambProvencale1000x600.jpg?VersionId=DFzRBXjpVjRjshzu6er3L0N5wSq08HmV&itok=X2I9gbBd
Lamb fillet with spiced lentil pilaf, 342, 24.4g, 6.0g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/lambfilletwithspicedlentilpilaf465x280.jpg?VersionId=a.Wd.PKaaFqEmfcFXU9DwRNiy9xLbKXK&itok=UAVo_9mY
Lamb dhansak, 417, 46.3g, 16.6g,105,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/lamdhansak465x280.jpg?VersionId=6Cob7osLOEoz2QvWe0PpVfXAhztCtOnE&itok=_HgkOh7j
Lamb and sweet potato hotpot, 288, 28.4g, 10.3g,135,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/LancashireLambSweetPotatoHotpot1000x600.jpg?VersionId=gAYc7Q8zTCNf4x2xMOiq4B2mHt6dhFl1&itok=8W6arw9W
Lamb biryani, 538, 69.3g, 7.9g,95,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Lamb-Biryani.jpg?VersionId=qF2.dapfyGGO6WlhL_q4d7wYF_rmjVST&itok=V6SbmLAp
Keralan-style vegetable curry , 237, 32.4g, 17.2g,85,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/vegetablecurry465x280.jpg?VersionId=7qdfy4d0GDj19Q2AwRyAC5KXYSGktAGl&itok=rVHbmTJ7
Kedgeree, 555, 62.7g, 2.8g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Kedgeree.jpg?VersionId=cpGhg6XDVVXx5a0iSy6Ag6A.9tEwzeO4&itok=gp2DUb2n
Kale and green lentil soup, 154, 18.7g, 7.9g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/KALE%2520GREEN%2520LENTIL%2520SOUP.jpg?VersionId=1QhH0E30AuqmaRy_b_1vn5zV1.rLW5fO&itok=gNb6EDvj
Jollof rice and chicken, 377, 50.3g, 11.9g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/jolloffchicken1000x600.jpg?VersionId=whT5YX_6mwAMbNtfAtlskcK0a6O8KRuk&itok=8r9SCUTZ
Pear and almond traybake, 147, 14.8g, 9.2g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/public/styles/recipie_listing/public/2021-06/PEAR%20AND%20ALMOND%20TRAY%20BAKE%201%20%281%29.jpg?VersionId=VXBVhMbQ2_QSgfv4u.SMgBot6LGS1uXR&itok=KvY9oOC8
Summer berry pavlova, 86, 10.7g, 6.5g,130,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Pavlova1000x600.jpg?VersionId=TNdfiCvY6dxWCHncNJUY6qM03eyTSDn3&itok=lxY3Y2AO
Patatas bravas, 125, 20.4g, 3.3g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Patatas-Bravas.jpg?VersionId=oacISQSRfo1Zi3TIScF3Jtb2c.OXWPme&itok=2aPHOpRs
Pasta in brodo, 463, 60.4g, 17.6g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/PastaInBrodo.jpg?VersionId=.RRvdLHRNfgylEccJd7v7QBi_T4Bum9W&itok=FTDVKUVt
"Pasta with aubergine, courgettes, ricotta and pine nuts", 432, 62.4g, 9.4g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Pasta-Ricotta-Aubs-Courgette.jpg?VersionId=DHGHuK_55uU0OImsGFopMJo1o5oGbnk3&itok=ojQKgsf8
Pasta and vegetable cheese, 424, 55.9g, 9.4g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Macaroni-And-Vegetable-Cheese.jpg?VersionId=sogutKPzrJggRyebSFdZDIiVn71SMSYY&itok=lANyDK4z
Pasta bean and chilli bake, 405, 51.5g, 12.8g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Pasta-Bean-And-Chili-Bake.jpg?VersionId=.mvZk5ZefROZRG2da17tVKnT63TSrhbq&itok=LmVo3Kid
Parsnip and apple soup, 236, 33.1g, 20.9g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Parsnip-And-Apple-Soup.jpg?VersionId=EgN7qKfMicwYg0ZMu90a8VJb.4GpxOw.&itok=03A218WI
Parmesan parsnips, 93, 10.5g, 4.8g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Parmesan-Parsnips.jpg?VersionId=BBwVw9y9hP.1IPXq_9nqR6wnk.YcT6Iv&itok=s7iXmF6V
Pancakes (crepes), 139, 18.6g, 2.2g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Pancakes-Crepes.jpg?VersionId=maHTgSFi27SYR4cR3GI3gYZip7EcRvH_&itok=Y4IeGxxK
Paprika roast roots, 122, 23.0g, 15.4g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/special_diets_icon/Gluten%20free.png
Paella, 404, 50.6g, 3.6g,45,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Paella.jpg?VersionId=bEHdTY8xHget2la8Ek81TzFisx2T_8Ud&itok=dI8ituyg
Spicy crab tortilla, 336, 47.4g, 6.6g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spicy-Crab-Tortilla.jpg?VersionId=oz2309P7rUePOYlxQd57_8d4GspLy8xX&itok=0ReZmZ5y
Spiced mince and lentil stuffed peppers, 389, 29.8g, 13.8g,90,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spiced-Mince-And-Lentil-Stuffed-Peppers.jpg?VersionId=DZ9tK9yWHVrkh3VSGAEYM7OWnQbIJOzW&itok=9tLb8t3l
Spiced chickpea soup with sourdough starter, 229, 28.0g, 5.6g,8,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spiced%2520Chickpea%2520Soup.jpg?VersionId=5OXxQ1KRoXsaMuNa2BFone3OA4mYEc7D&itok=wX__TOiF
Spiced apple and raisin muesli bars, 91, 14.4g, 6.5g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SpicedAppleMusliBar.jpg?VersionId=C9SlFKCughHvkVNc4tFCiqXkxCs5.Xbp&itok=hgCOJHa5
Spiced red cabbage, 67, 10.4g, 10.0g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Red-Cabbage.jpg?VersionId=g7aV1jZxoA0Nwqrp4WE5itQoBV6gHmyd&itok=7Ey4R8KJ
Spiced apple polenta bites, 50, 6.3g, 2.9g,41,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/polentabites465x280.jpg?VersionId=nMujZB.FWCi37GeMRDFw3q009y6iW.cI&itok=tWUO3Evb
Spiced citrus teabread, 252, 50.0g, 25.9g,155,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spiced-Citrus-Teabread.jpg?VersionId=KslsH1MrWebncwlCvahWutIhbc2yAMM8&itok=LMDbjF0v
Speedy salmon pasta, 520, 58.6g, 5.2g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Speedy-Salmon-Pasta.jpg?VersionId=YUJurQxK3LL3YSdiwvmW7B9sn.Evllgw&itok=xHIlbfes
Spanish onion and anchovy pizza, 168, 24.4g, 4.8g,120,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spanish-Onion-And-Anchovy-Pizza.jpg?VersionId=Or4A.sk4kYUFfZDI3Jfk3HQd4tcSWt_t&itok=2eTg16q0
"Spaghetti with courgette, chilli and tomato", 319, 55.0g, 7.7g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Spaghetti-with-courgette%2C-chilli%2C-tomato-and-bacon.jpg?VersionId=gCISBm4pjHjoK_x04IhAL_P43ZqJkkDx&itok=7rZzyTPP
Spaghetti bolognese, 465, 60.5g, 12.9g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SpagettiBolognaise1000x600.jpg?VersionId=f5ahFk_Ie9tBQTEE_TCtUadefGIYT4ZU&itok=sc13_os7
Spaghetti carbonara, 412, 57.5g, 7.0g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/SpagettiCarbonara1000x600.jpg?VersionId=92YKNkdOubxDMVjC0mt4qoHE1G31ERcR&itok=q75eCJXt
Slow-cooked bean chilli, 330, 38.3g, 15.0g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Bean%20chilli%20web%20.jpg?VersionId=VKxzj_n7NnHWIZ7C1ixuNcUbw52acOxd&itok=O5SA4y-f
Golden Soup, 63, 9.5g, 7.8g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/iStock-612260826.jpg?VersionId=eH_PvRK61IwS.ow6XD4KYz6usQASS3PO&itok=BbciKvme
Blueberry yogurt cake with muesli base, 148, 14.6g, 6.0g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/StockFood_00933597.jpg?VersionId=aBuRyEIcEKx3IyJ1Px16CaX5MTJRFVyT&itok=_ImXuv8h
Grilled Mediterranean peppers, 58, 7.3g, 6.7g,15,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/StockFood_11303840.jpg?VersionId=J7dbu56iPHoN7a1yq2_2oHaiE1FVqL1L&itok=dy7boKYq
"Chicken, squash and coriander pilaf", 404, 47.7g, 1.5g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/StockFood_12409682.jpg?VersionId=TUexjf60wpIlTnSoseQ7bkw5CDLk81Zk&itok=Mz84zcqt
Mackerel with tomatoes , 277, 3.0g, 2.6g,30,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/StockFood_00130835_HiRes.jpg?VersionId=YeodLTBnGvQP0qIWLfJ9vIe4F4.ZdY02&itok=981s0xZs
"Sweet potato, chickpea and carrot tagine with couscous ", 348, 55.4g, 17.6g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/StockFood_12436156_0.jpg?VersionId=ZzfNZOXNtxmYCttXgqtAO6pIhFUUgvcM&itok=5-qvOSLf
Turkish cauliflower pizza with Quorn and tzatziki , 296, 26.3g, 14.5g,60,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Cauliflower%20recipe.jpeg?VersionId=nDyRsIBp6RNIknZzVcBEj1BjTzCJ_JUd&itok=QQJsoDC4
Chocolate orange soufflé , 101, 15.3g, 14.7g,16,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/choc-orange-souffle-713x400.jpg?VersionId=K9xcUmTBXq1khYlrUsydbls7.7m9OxUH&itok=lRHy6fWe
Roasted beetroot hummus, 149, 13.1g, 6.0g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/roasted-beetroot-hummus.jpg?VersionId=iumORuWQqCk1U23v23MBVSQZVmmXQEYa&itok=aLWYHapd
Pyaaj pakora baked battered onions, 66, 10.8g, 1.5g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/baked-battered-onions-713x400.jpg?VersionId=HZq7NhsCt583L_lTjHskCXtSrQchNizC&itok=Kl6paUl2
Poached spiced pears, 107, 23.8g, 23.8g,20,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/poached-spiced-pears713x400.jpg?VersionId=1fHnBQL1O8jvfmmcqTteMCUS6TvXQQlr&itok=CLJOV9xK
Mexican tuna pâté, 116, 5.8g, 5.9g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/MexicanTunaPate1000x600.jpg?VersionId=Y8L62C5sa_gcWfFYkUZVRTPGFYgeyB1i&itok=OA6O_frn
Mediterranean pasta salad, 422, 58.7g, 5.6g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Mediterranean-Pasta-Salad.jpg?VersionId=EHF9AZKUXfN0pUwWzvrKYqXoZ.C2xENK&itok=UR6b7bmj
Meatballs, 142, 7.4g, 3.2g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Meatballs.jpg?VersionId=XFxgHEuL3olXEAM5qHHt8bYZ1tla.Xed&itok=T5crUQbU
Marinated tofu kebabs, 93, 5.9g, 5.0g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Marinated-Tofu-Kebabs.jpg?VersionId=K31Lk3rjXsKK7aoc1.gEhMxIZ83SUNtg&itok=hnw1fy6P
Marinated monkfish, 342, 52.1g, 6.7g,55,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Marinated-Monkfish-Fragrant-Rice.jpg?VersionId=yO8ZwEgtV2xRZI3IgkBWD32_OT0VyHb1&itok=tu6V22IB
Marinated chicken skewers with couscous, 471, 62.7g, 7.3g,50,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Marinated-Chicken-Cous-Cous.jpg?VersionId=CQ1pAVoJAaBZ7eM359T8zWzixez.Hcd7&itok=j6z5Jv4k
Marinated mackerel salad, 186, 8.6g, 1.3g,85,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/Marinated-Mackeral-Salad.jpg?VersionId=oQM7t8SwLJnz7n3k5qQUn5csdM8I2eCS&itok=zOlYh2EF
