name,kCal,carbs,sugar,cookTime,img
"Watermelon, butterbean and feta salad", 124, 13.0g, 5.9g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/migration/recipes/WATERMELON%2520BUTTERBEAN%2520AND%2520FETA%2520SALAD%25201.jpg?VersionId=lbu77UEeIy_.kEnwuYMOfFbI7h9uId9c&itok=tqCjFSkJ
Honey-roasted parsnips and carrots, 215, 23.9g, 16.1g,70,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/honey-roasted-713x400.jpg?VersionId=R5FHFqJ8DF_INqodllRF814pAP.rfcdG&itok=ogQaYSTw
Nutty chocolate truffles, 62, 8.0g, 7.2g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/nutty-chocolate-truffles-713x400.jpg?VersionId=tNrfJzuj63x6szgxfxHJFc1sIkVZmYUA&itok=plVhFqh2
Char siu chicken skewers & sweet peppers, 124, 6.3g, 6.1g,25,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/chicken-skewers-713x400.jpg?VersionId=NhVDYA3QF5WiUXDMGuTMy24oA..27rWL&itok=uH_goQe0
Salad nicoise, 194, 15.6g, 3.3g,40,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Salad-Nicoise.jpg?VersionId=0_h4XfjmyXpDV0dN381N3ROaduBgjGDO&itok=b5c0_1vq
Chunky chips, 199, 37.3g, 1.7g,35,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Fab-Fish-And-Chips.jpg?VersionId=XlueMIuKoftGerYWu_YNpmfsE_jrcqeE&itok=amSeZ_Lu
Tomato ketchup, 19, 3.3g, 2.9g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Tomato20sauce.jpg?VersionId=IJFlWrj9ZeL1hCOuJYpwlIGDI6fAl1X4&itok=5Xi5Wjtj
Rekha's Shirkhand, 87, 3.7g, 3.5g,10,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Rekha-Probert-Shirkland-recipe-746.jpg?VersionId=WvcK8QS0XEjAl42FvHi09XkyDun2kxT3&itok=6mRiqPbO
Tuna balls with tomato sauce, 394, 21.0g, 4.7g,,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Tuna-balls-with-tomato-sauce%20%281%29.jpg?VersionId=hSY1nJR_9MOFIdCdiWNwqcEpeMep_eZQ&itok=Y06twmlc
Sag Aloo, 245, 3.7g, 9.8g,65,https://diabetes-resources-production.s3.eu-west-1.amazonaws.com/resources-s3/styles/recipie_listing/s3/Sag-aloo.jpg?VersionId=9Ds26gaE0BCV2KxGHJ2w9yjnnEbAn9zL&itok=_-KpUkPK
